"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-11 14:00","2019","04","11","14:00","5.3","","-6.5","","42","","0.0","","20","","11","","","","102.01","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-11 15:00","2019","04","11","15:00","5.3","","-6.6","","42","","0.0","","21","","15","","","","102.08","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-11 16:00","2019","04","11","16:00","5.6","","-5.3","","45","","0.0","","20","","18","","","","102.07","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-11 17:00","2019","04","11","17:00","5.1","","-4.8","","49","","0.0","","22","","15","","","","102.07","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-11 18:00","2019","04","11","18:00","4.7","","-5.2","","49","","0.0","","21","","11","","","","102.07","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-11 19:00","2019","04","11","19:00","4.3","","-4.6","","52","","0.0","","23","","9","","","","102.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-11 20:00","2019","04","11","20:00","3.5","","-4.3","","57","","0.0","","24","","3","","","","102.15","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-11 21:00","2019","04","11","21:00","2.2","","-4.3","","62","","0.0","","","","0","","","","102.15","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-11 22:00","2019","04","11","22:00","2.2","","-3.1","","68","","0.0","","","","0","","","","102.13","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-11 23:00","2019","04","11","23:00","1.5","","-3.1","","71","","0.0","","","","0","","","","102.14","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 00:00","2019","04","12","00:00","3.2","","-4.2","","58","","0.0","","10","","6","","","","102.10","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 01:00","2019","04","12","01:00","3.0","","-3.3","","63","","0.0","","1","","7","","","","102.12","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 02:00","2019","04","12","02:00","3.8","","-4.8","","53","","0.0","","3","","6","","","","102.05","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 03:00","2019","04","12","03:00","4.1","","-5.0","","52","","0.0","","10","","5","","","","102.07","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 04:00","2019","04","12","04:00","3.8","","-4.6","","54","","0.0","","8","","8","","","","102.02","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 05:00","2019","04","12","05:00","3.5","","-4.6","","55","","0.0","","9","","11","","","","101.90","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 06:00","2019","04","12","06:00","3.8","","-4.4","","55","","0.0","","9","","12","","","","101.90","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 07:00","2019","04","12","07:00","4.0","","-4.1","","55","","0.0","","9","","11","","","","101.89","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 08:00","2019","04","12","08:00","5.7","","-4.7","","47","","0.0","","9","","15","","","","101.82","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 09:00","2019","04","12","09:00","6.6","","-4.4","","45","","0.0","","7","","16","","","","101.70","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 10:00","2019","04","12","10:00","8.2","","-4.6","","40","","0.0","","10","","17","","","","101.63","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 11:00","2019","04","12","11:00","10.0","","-4.3","","36","","0.0","","13","","30","","","","101.48","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 12:00","2019","04","12","12:00","11.5","","0.0","","45","","0.0","","13","","24","","","","101.40","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 13:00","2019","04","12","13:00","12.0","","3.1","","54","","0.0","","11","","27","","","","101.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 14:00","2019","04","12","14:00","13.1","","3.8","","53","","0.0","","13","","26","","","","101.12","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 15:00","2019","04","12","15:00","13.8","","5.2","","56","","0.0","","13","","24","","","","101.00","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 16:00","2019","04","12","16:00","13.4","","5.4","","58","","0.0","","13","","13","","","","101.03","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 17:00","2019","04","12","17:00","13.0","","6.1","","63","","0.0","","9","","9","","","","101.00","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 18:00","2019","04","12","18:00","12.3","","7.4","","72","","0.0","","8","","6","","","","100.98","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 19:00","2019","04","12","19:00","12.1","","8.4","","78","","0.0","","12","","9","","","","100.87","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 20:00","2019","04","12","20:00","12.1","","8.9","","81","","0.0","","14","","20","","","","100.74","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 21:00","2019","04","12","21:00","10.6","","7.1","","79","","0.0","","24","","4","","","","100.74","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 22:00","2019","04","12","22:00","10.6","","8.0","","84","","0.0","","17","","7","","","","100.64","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-12 23:00","2019","04","12","23:00","11.3","","8.7","","84","","0.0","","17","","4","","","","100.63","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 00:00","2019","04","13","00:00","11.6","","9.0","","84","","0.0","","16","","13","","","","100.63","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 01:00","2019","04","13","01:00","10.6","","8.9","","89","","0.0","","16","","11","","","","100.58","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 02:00","2019","04","13","02:00","7.6","","5.3","","85","","0.0","","29","","5","","","","100.62","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 03:00","2019","04","13","03:00","6.0","","3.9","","87","","0.0","","35","","7","","","","100.69","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 04:00","2019","04","13","04:00","9.7","","8.7","","93","","0.0","","20","","8","","","","100.70","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 05:00","2019","04","13","05:00","11.9","","8.1","","78","","0.0","","22","","12","","","","100.76","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 06:00","2019","04","13","06:00","12.4","","7.1","","70","","0.0","","24","","19","","","","100.89","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 07:00","2019","04","13","07:00","11.7","","7.3","","74","","0.0","","26","","21","","","","100.98","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 08:00","2019","04","13","08:00","11.9","","5.2","","63","","0.0","","25","","13","","","","100.99","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 09:00","2019","04","13","09:00","13.1","","3.5","","52","","0.0","","25","","19","","","","100.99","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 10:00","2019","04","13","10:00","14.1","","2.1","","44","","0.0","","25","","27","","","","100.97","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 11:00","2019","04","13","11:00","14.2","","2.9","","46","","0.0","","22","","26","","","","100.89","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 12:00","2019","04","13","12:00","15.5","","1.5","","39","","0.0","","24","","32","","","","100.83","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 13:00","2019","04","13","13:00","16.6","","0.9","","34","","0.0","","23","","29","","","","100.75","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 14:00","2019","04","13","14:00","16.9","","-1.3","","29","","0.0","","24","","35","","","","100.74","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 15:00","2019","04","13","15:00","16.4","","-1.8","","29","","0.0","","23","","35","","","","100.72","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 16:00","2019","04","13","16:00","15.6","","-2.1","","30","","0.0","","23","","37","","","","100.75","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 17:00","2019","04","13","17:00","15.3","","-1.9","","30","","0.0","","23","","30","","","","100.78","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 18:00","2019","04","13","18:00","14.3","","-1.7","","33","","0.0","","24","","24","","","","100.81","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 19:00","2019","04","13","19:00","13.0","","-1.4","","37","","0.0","","24","","26","","","","100.77","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 20:00","2019","04","13","20:00","11.6","","-0.4","","44","","0.0","","27","","22","","","","100.88","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 21:00","2019","04","13","21:00","8.8","","-2.7","","44","","0.0","","29","","16","","","","101.03","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 22:00","2019","04","13","22:00","7.4","","-3.2","","47","","0.0","","31","","16","","","","101.10","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-13 23:00","2019","04","13","23:00","6.7","","-3.9","","47","","0.0","","27","","12","","","","101.18","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 00:00","2019","04","14","00:00","5.9","","-3.6","","50","","0.0","","22","","9","","","","101.25","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 01:00","2019","04","14","01:00","4.5","","-2.0","","63","","0.0","","22","","11","","","","101.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 02:00","2019","04","14","02:00","3.9","","-2.4","","63","","0.0","","22","","12","","","","101.22","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 03:00","2019","04","14","03:00","3.4","","-2.6","","65","","0.0","","22","","10","","","","101.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 04:00","2019","04","14","04:00","3.3","","-3.6","","60","","0.0","","25","","7","","","","101.27","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 05:00","2019","04","14","05:00","1.9","","-4.3","","64","","0.0","","25","","6","","","","101.28","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 06:00","2019","04","14","06:00","3.3","","-3.4","","61","","0.0","","24","","6","","","","101.29","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 07:00","2019","04","14","07:00","4.5","","-3.4","","57","","0.0","","23","","9","","","","101.33","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 08:00","2019","04","14","08:00","6.4","","-3.8","","48","","0.0","","27","","17","","","","101.38","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 09:00","2019","04","14","09:00","7.0","","-3.5","","47","","0.0","","27","","14","","","","101.32","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 10:00","2019","04","14","10:00","7.3","","-4.7","","42","","0.0","","27","","11","","","","101.25","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 11:00","2019","04","14","11:00","7.8","","-3.4","","45","","0.0","","27","","7","","","","101.17","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 12:00","2019","04","14","12:00","7.8","","-4.7","","41","","0.0","","18","","12","","","","101.08","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 13:00","2019","04","14","13:00","7.7","","-4.8","","41","","0.0","","14","","6","","","","100.96","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 14:00","2019","04","14","14:00","7.8","","-4.1","","43","","0.0","","29","","4","","","","100.89","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 15:00","2019","04","14","15:00","8.4","","-4.0","","41","","0.0","","4","","6","","","","100.74","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 16:00","2019","04","14","16:00","5.7","","1.2","","73","","0.0","","18","","10","","","","100.78","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 17:00","2019","04","14","17:00","4.9","","2.2","","83","","1.3","","12","","13","","","","100.68","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 18:00","2019","04","14","18:00","4.7","","2.9","","88","","1.4","","4","","12","","","","100.60","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 19:00","2019","04","14","19:00","3.6","","1.8","","88","","0.2","","4","","20","","","","100.42","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 20:00","2019","04","14","20:00","2.9","","1.6","","91","","0.5","","4","","22","","","","100.30","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 21:00","2019","04","14","21:00","2.9","","1.7","","91","","1.1","","4","","24","","","","100.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 22:00","2019","04","14","22:00","2.9","","1.9","","93","","0.2","","4","","27","","","","99.82","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-14 23:00","2019","04","14","23:00","3.2","","2.2","","93","","0.3","","4","","30","","","","99.51","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 00:00","2019","04","15","00:00","3.3","","2.2","","93","","0.2","","4","","30","","","","99.34","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 01:00","2019","04","15","01:00","3.3","","2.3","","93","","0.0","","4","","33","","","","99.12","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 02:00","2019","04","15","02:00","3.4","","2.5","","93","","0.0","","4","","34","","","","98.74","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 03:00","2019","04","15","03:00","3.6","","2.6","","93","","0.2","","4","","24","","","","98.74","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 04:00","2019","04","15","04:00","3.3","","2.6","","95","","0.3","","2","","23","","","","98.70","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 05:00","2019","04","15","05:00","2.8","","2.0","","95","","0.0","","3","","25","","","","98.52","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 06:00","2019","04","15","06:00","2.9","","2.1","","95","","0.0","","36","","17","","","","98.66","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 07:00","2019","04","15","07:00","3.0","","2.3","","95","","0.0","","35","","12","","","","98.68","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 08:00","2019","04","15","08:00","3.2","","2.5","","95","","0.0","","36","","14","","","","98.65","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 09:00","2019","04","15","09:00","4.0","","3.2","","95","","0.2","","31","","10","","","","98.65","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 10:00","2019","04","15","10:00","4.3","","3.5","","94","","0.4","","27","","14","","","","98.71","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 11:00","2019","04","15","11:00","5.0","","4.1","","94","","0.0","","26","","17","","","","98.77","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 12:00","2019","04","15","12:00","5.2","","3.7","","89","","0.0","","27","","17","","","","98.84","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 13:00","2019","04","15","13:00","5.3","","3.9","","91","","0.0","","27","","16","","","","98.88","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 14:00","2019","04","15","14:00","5.2","","3.6","","89","","0.3","","27","","22","","","","98.91","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 15:00","2019","04","15","15:00","4.7","","3.0","","89","","0.0","","28","","25","","","","98.95","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 16:00","2019","04","15","16:00","5.1","","2.8","","85","","0.0","","28","","27","","","","99.05","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 17:00","2019","04","15","17:00","4.7","","1.3","","79","","0.0","","28","","27","","","","99.20","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 18:00","2019","04","15","18:00","4.1","","0.7","","78","","0.0","","28","","29","","","","99.39","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 19:00","2019","04","15","19:00","3.1","","0.8","","85","","0.0","","28","","28","","","","99.59","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 20:00","2019","04","15","20:00","3.4","","-0.1","","78","","0.2","","28","","29","","","","99.76","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 21:00","2019","04","15","21:00","3.3","","-0.4","","77","","0.0","","28","","33","","","","99.87","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 22:00","2019","04","15","22:00","2.8","","-0.2","","81","","0.0","","28","","24","","","","99.96","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-15 23:00","2019","04","15","23:00","2.7","","-0.5","","79","","0.0","","28","","27","","","","100.03","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 00:00","2019","04","16","00:00","2.7","","-1.1","","76","","0.0","","28","","25","","","","100.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 01:00","2019","04","16","01:00","2.6","","-1.5","","74","","0.0","","27","","24","","","","100.16","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 02:00","2019","04","16","02:00","2.5","","-2.2","","71","","0.0","","28","","28","","","","100.21","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 03:00","2019","04","16","03:00","2.3","","-2.5","","71","","0.0","","28","","28","","","","100.29","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 04:00","2019","04","16","04:00","2.2","","-2.4","","71","","0.0","","28","","27","","","","100.37","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 05:00","2019","04","16","05:00","2.4","","-2.2","","72","","0.0","","28","","22","","","","100.52","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 06:00","2019","04","16","06:00","2.7","","-2.0","","71","","0.0","","28","","27","","","","100.61","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 07:00","2019","04","16","07:00","3.2","","-1.7","","70","","0.0","","27","","26","","","","100.69","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 08:00","2019","04","16","08:00","3.6","","-1.6","","68","","0.0","","28","","20","","","","100.75","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 09:00","2019","04","16","09:00","4.3","","-1.6","","65","","0.0","","28","","29","","","","100.80","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 10:00","2019","04","16","10:00","4.8","","-2.4","","60","","0.0","","29","","26","","","","100.83","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 11:00","2019","04","16","11:00","5.3","","-2.0","","59","","0.0","","29","","34","","","","100.85","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 12:00","2019","04","16","12:00","5.8","","-2.6","","55","","0.0","","30","","29","","","","100.90","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 13:00","2019","04","16","13:00","6.4","","-2.4","","53","","0.0","","29","","29","","","","100.92","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 14:00","2019","04","16","14:00","7.3","","-2.3","","50","","0.0","","31","","26","","","","100.94","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 15:00","2019","04","16","15:00","8.2","","-3.3","","44","","0.0","","31","","26","","","","100.94","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 16:00","2019","04","16","16:00","9.2","","-3.2","","42","","0.0","","29","","25","","","","100.95","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 17:00","2019","04","16","17:00","9.0","","-3.6","","41","","0.0","","31","","25","","","","101.00","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 18:00","2019","04","16","18:00","8.8","","-3.8","","41","","0.0","","32","","21","","","","101.04","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 19:00","2019","04","16","19:00","7.4","","-3.1","","47","","0.0","","32","","11","","","","101.12","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 20:00","2019","04","16","20:00","7.1","","-2.7","","50","","0.0","","34","","6","","","","101.22","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 21:00","2019","04","16","21:00","6.0","","-2.5","","54","","0.0","","35","","5","","","","101.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 22:00","2019","04","16","22:00","4.9","","-2.4","","59","","0.0","","31","","6","","","","101.30","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2019-04-16 23:00","2019","04","16","23:00","3.6","","-2.9","","62","","0.0","","28","","6","","","","101.33","","","","","","NA"
